Barcode,IssueDate,IsActive,SSN
10079,2018-08-21 14:07:40.760,0,0211000358
10080,2017-09-17 03:36:47.080,0,0008524296
10081,2018-04-13 23:19:02.250,1,0107485172
10082,2019-09-17 08:31:02.080,1,0109770684
10083,2016-07-03 11:47:16.810,0,0101247143
10084,2013-09-04 03:54:07.340,0,0202066554
10085,2019-01-30 06:22:46.070,0,0106956849
10086,2018-02-28 22:21:39.500,1,0208516168
10087,2016-06-07 18:22:49.160,0,0305374609
10088,2015-07-20 23:10:56.220,1,0207316308
10089,2014-08-10 01:29:56.820,1,0205563436
10090,2017-04-08 15:28:29.940,1,0212570336
10091,2014-11-20 01:00:43.030,0,0012736248
10092,2013-08-12 21:05:34.450,0,0109123158
10093,2016-07-30 22:56:13.070,0,0201818084
10094,2016-01-02 23:03:50.030,0,0101567757
10095,2020-12-01 19:04:42.910,0,0012216334
10096,2014-01-03 10:48:11.900,1,0208075862
10097,2018-04-13 18:50:42.450,0,0009683395
10098,2015-02-23 16:47:37.720,1,0008476363
10099,2015-10-29 02:00:01.710,1,0003316510
10100,2014-05-25 18:04:04.340,0,0304680717
10101,2020-08-14 12:44:24.750,0,0202520165
10102,2015-10-03 10:41:57.800,1,0200365909
10103,2020-05-19 18:10:28.120,1,0212236094
10104,2020-01-18 06:54:09.050,1,0304364873
10105,2015-10-20 09:28:02.610,0,0212248879
10106,2014-01-01 19:55:47.480,1,0003293862
10107,2017-05-16 16:02:58.680,0,0210731960
10108,2015-01-16 06:44:48.580,0,0202267341
10109,2019-07-29 20:47:22.910,1,0004218735
10110,2017-06-01 04:05:54.300,1,0006774327
10111,2017-01-06 21:41:40.560,0,0004627669
10112,2018-08-14 16:05:17.190,1,0112556439
10113,2018-07-07 13:36:40.560,0,0300280289
10114,2019-12-05 17:22:53.170,1,0108034469
10115,2016-06-22 16:09:51.580,0,0006771580
10116,2016-03-02 03:17:21.790,0,0302999095
10117,2019-07-14 05:55:08.050,0,0110853120
10118,2014-05-30 12:06:00.440,0,0009792180
10119,2014-08-12 02:13:08.120,1,0112827046
10120,2017-05-29 20:13:42.120,1,0000304473
10121,2018-07-10 04:08:36.980,0,0102901657
10122,2016-06-27 04:46:15.890,1,0208868612
10123,2015-06-26 12:05:00.070,1,0003068211
10124,2015-09-30 23:42:57.970,1,0012056935
10125,2016-05-30 00:11:32.400,0,0202992698
10126,2016-04-22 07:14:50.410,0,0300379526
10127,2018-02-13 18:47:22.550,0,0303547520
10128,2018-06-24 23:13:28.970,0,0103898229
10129,2014-11-01 05:09:56.410,0,0306137957
10130,2015-08-09 10:08:39.960,1,0012037544
10131,2017-04-30 21:21:37.960,0,0108502753
10132,2018-02-23 08:04:19.050,0,0109544607
10133,2015-09-22 07:00:13.040,1,0002840295
10134,2017-09-07 20:03:36.420,1,0307322107
10135,2018-02-02 14:52:22.340,1,0108130798
10136,2015-12-22 12:37:04.440,1,0208733312
10137,2020-04-29 14:20:33.970,0,0112730196
10138,2017-06-16 04:53:07.770,1,0004546118
10139,2018-11-15 18:26:04.740,1,0204704598
10140,2018-07-10 10:26:58.580,0,0104243266
10141,2014-03-27 06:18:40.820,1,0212350758
10142,2014-11-02 11:38:00.570,0,0005867574
10143,2016-12-22 02:23:33.320,0,0303142077
10144,2018-03-10 21:24:02.530,1,0112766463
10145,2013-09-11 17:46:49.380,0,0208374719
10146,2017-04-07 08:55:25.840,1,0202394526
10147,2016-02-06 07:28:53.890,1,0306965468
10148,2017-08-26 05:33:19.910,1,0007669900
10149,2020-07-12 06:53:58.450,1,0008417723
10150,2018-03-13 15:47:21.120,1,0306852515
10151,2015-06-23 04:53:03.860,1,0010856624
10152,2017-04-26 06:44:42.010,1,0302340884
10153,2013-12-24 14:34:29.590,1,0110850971
10154,2019-06-01 05:46:19.600,0,0003080047
10155,2016-11-15 13:55:27.360,0,0011223809
10156,2017-07-30 07:58:08.850,1,0208647149
10157,2013-09-18 22:36:57.730,0,0308724966
10158,2018-01-29 18:27:30.150,1,0200914195
10159,2017-01-30 06:42:36.640,1,0108831716
10160,2020-06-29 02:13:12.200,1,0300947608
10161,2016-11-18 01:08:24.940,1,0003537390
10162,2019-11-22 16:49:29.710,1,0108729974
10163,2013-08-27 01:34:52.170,0,0007073520
10164,2017-06-01 10:38:42.940,1,0207925691
10165,2013-07-13 06:44:16.340,1,0303553406
10166,2019-11-14 13:37:21.520,0,0111054137
10167,2016-05-04 09:05:04.140,1,0110206704
10168,2014-04-10 17:33:04.140,1,0202068994
10169,2015-04-14 02:30:30.830,1,0302252572
10170,2013-12-12 03:32:47.140,1,0100174363
10171,2016-11-02 12:56:47.820,0,0003136745
10172,2015-07-10 01:02:00.270,0,0106901460
10173,2016-07-14 17:39:55.710,0,0107834059
10174,2017-02-01 15:46:09.540,0,0009290422
10175,2016-08-14 13:55:01.300,1,0003365732
10176,2017-02-16 16:30:36.400,1,0009904093
10177,2020-07-06 02:22:42.580,1,0006860788
10178,2018-04-17 14:40:57.550,1,0106245175
10179,2015-07-01 05:56:08.590,1,0106326956
10180,2020-02-22 15:16:06.560,1,0000946377
10181,2013-08-26 23:45:56.520,0,0103948284
10182,2013-11-30 13:14:02.640,1,0303037950
10183,2018-12-13 16:19:30.520,1,0008908498
10184,2017-08-20 13:22:35.290,0,0211489408
10185,2013-07-29 05:15:36.090,0,0001334510
10186,2013-06-16 14:36:55.940,0,0108625373
10187,2017-08-11 17:29:49.450,1,0300665219
10188,2017-04-23 01:13:53.450,1,0302237788
10189,2014-04-04 06:08:09.050,1,0000850553
10190,2013-12-16 06:54:13.480,0,0201295465
10191,2015-09-14 14:00:06.710,0,0011719352
10192,2015-09-10 19:53:03.820,0,0300849916
10193,2013-10-26 22:10:31.120,0,0111632147
10194,2019-05-19 16:12:52.540,0,0205824300
10195,2015-02-01 09:18:33.640,1,0101173687
10196,2015-05-05 13:29:11.110,1,0104996536
10197,2014-08-18 10:03:08.400,0,0301237301
10198,2020-07-22 15:44:50.380,0,0210172358
10199,2018-02-07 14:39:46.180,0,0300999862
10200,2014-10-29 04:09:27.870,0,0011124794
10201,2014-05-15 23:50:21.700,1,0005979027
10202,2015-04-09 13:55:49.750,0,0210626791
10203,2015-10-25 03:02:49.070,1,0008154732
10204,2020-01-11 03:21:11.310,1,0210134721
10205,2014-10-21 02:50:33.290,0,0109925641
10206,2020-12-14 03:51:03.590,0,0206802933
10207,2014-03-24 13:04:46.290,1,0108773118
10208,2017-11-21 22:48:20.050,1,0102468769
10209,2016-03-28 15:51:18.290,0,0303049746
10210,2020-09-28 21:24:50.970,0,0001545235
10211,2018-01-24 05:35:26.280,1,0202508924
10212,2016-06-03 07:56:00.180,1,0005355245
10213,2016-01-11 12:31:21.560,1,0304567798
10214,2017-12-08 15:26:30.090,1,0307697645
10215,2020-04-14 02:27:15.670,0,0111289023
10216,2016-05-30 11:54:22.300,1,0011203313
10217,2014-05-22 00:29:59.190,0,0100479191
10218,2017-01-06 12:12:16.880,1,0010453317
10219,2017-04-15 05:23:06.850,1,0206769801
10220,2013-07-08 16:07:20.390,1,0006083870
10221,2015-09-14 20:07:32.060,1,0112706371
10222,2020-01-12 07:51:10.700,0,0110637250
10223,2013-06-18 11:24:55.080,0,0201428775
10224,2014-10-08 19:36:17.340,1,0102048546
10225,2019-03-30 13:32:40.430,0,0001124861
10226,2014-08-04 17:03:44.000,0,0004307700
10227,2015-02-23 02:51:29.150,0,0209940649
10228,2018-02-26 01:27:03.170,0,0203330504
10229,2015-06-13 06:27:35.900,1,0210517452
10230,2014-09-22 00:25:50.190,0,0201236364
10231,2015-12-12 06:27:27.990,1,0310313285
10232,2020-12-14 10:37:52.200,1,0011244673
10233,2013-08-20 00:01:11.360,1,0107370825
10234,2014-02-12 01:46:40.710,1,0008591804
10235,2019-03-21 15:25:44.860,0,0210306735
10236,2019-05-20 09:50:06.780,0,0108043991
10237,2019-02-06 10:11:13.570,0,0200552111
10238,2019-12-03 12:58:19.220,1,0100925024
10239,2016-04-11 10:32:02.000,1,0103154499
10240,2013-08-15 01:24:32.500,1,0010616939
10241,2020-03-25 01:32:09.660,1,0302965181
10242,2020-09-19 18:41:29.400,1,0112637746
10243,2014-07-07 09:22:35.160,1,0000158094
10244,2014-07-06 08:43:18.090,0,0301748226
10245,2016-11-22 01:18:47.200,0,0300626504
10246,2020-04-12 06:04:06.540,1,0007141318
10247,2020-08-30 07:21:42.260,1,0310095787
10248,2016-11-18 06:44:01.030,0,0004207728
10249,2020-02-04 13:45:36.880,1,0008530139
10250,2019-09-03 21:24:11.340,1,0307106881
10251,2014-05-26 12:59:11.920,1,0004770370
10252,2018-08-11 21:50:51.530,0,0204171407
10253,2016-09-18 10:21:43.530,0,0004476929
10254,2018-01-11 22:32:25.790,1,0208596407
10255,2020-02-14 08:01:55.810,1,0309253814
10256,2015-05-04 15:59:11.000,1,0110953942
10257,2015-04-03 02:30:54.670,0,0010440344
10258,2014-06-28 07:26:31.720,1,0208572461
10259,2014-03-25 13:48:30.870,1,0209224892
10260,2013-08-28 09:46:49.280,0,0106249919
10261,2019-04-03 00:59:34.440,0,0304204251
10262,2017-01-26 11:37:43.120,0,0207723559
10263,2015-11-21 16:20:44.150,1,0106746768
10264,2014-12-17 15:25:28.100,0,0101924332
10265,2018-03-30 14:57:22.970,0,0206372577
10266,2018-02-09 18:57:34.080,0,0105251467
10267,2016-03-26 07:54:48.810,1,0200972455
10268,2015-05-11 10:44:40.840,0,0305179246
10269,2019-09-20 00:00:45.240,1,0112413958
10270,2014-05-07 16:37:08.890,0,0004161532
10271,2018-04-24 01:43:08.740,1,0200183681
10272,2015-06-19 11:31:39.970,0,0302175255
10273,2014-03-09 01:40:14.870,1,0209810608
10274,2017-02-10 03:58:34.350,1,0109745716
10275,2014-04-15 14:35:10.730,1,0006261243
10276,2015-12-26 01:26:02.660,1,0312277807
10277,2018-12-17 22:28:35.530,0,0110539450
10278,2019-12-14 02:41:36.990,1,0309283281
10279,2018-11-16 18:17:30.150,1,0103426094
10280,2019-12-18 07:28:33.900,0,0209395015
10281,2014-12-05 09:42:01.750,1,0305844565
10282,2019-04-06 20:07:28.120,1,0206825314
10283,2019-01-22 11:41:26.300,0,0108905477
10284,2016-10-09 09:03:24.560,1,0208358813
10285,2013-10-08 11:26:38.270,0,0109869050
10286,2018-05-02 08:36:36.470,0,0307264484
10287,2017-09-07 00:16:08.670,0,0007293739
10288,2016-08-08 01:28:45.580,0,0200452141
10289,2014-12-29 17:44:44.910,0,0110293498
10290,2017-04-28 23:26:33.850,0,0303028494
10291,2017-07-29 07:19:12.100,0,0010838228
10292,2018-01-21 02:44:41.840,0,0207536336
10293,2019-02-19 23:09:48.340,0,0312948744
10294,2016-01-25 00:45:12.720,1,0212076181
10295,2015-05-15 00:24:58.070,1,0304284405
10296,2016-08-08 13:54:26.530,0,0008564796
10297,2018-04-11 02:20:45.250,0,0309644415
10298,2020-07-20 17:57:07.070,1,0201768985
10299,2017-04-07 17:45:55.130,1,0008939632
10300,2019-10-13 06:21:13.120,1,0109624655
10301,2017-06-28 22:09:17.720,0,0309860691
10302,2018-10-01 20:37:01.420,0,0205826226
10303,2018-03-01 06:43:15.800,1,0107831236
10304,2019-03-11 21:08:27.980,1,0312594554
10305,2014-10-22 19:41:02.600,1,0105718085
10306,2019-12-08 01:27:31.950,1,0005303334
10307,2017-11-14 20:10:36.650,1,0312747036
10308,2020-08-08 06:23:09.190,0,0110675122
10309,2017-03-10 07:57:15.050,1,0202967141
10310,2017-08-01 06:35:53.140,0,0200765797
10311,2017-05-17 17:30:35.480,0,0000799766
10312,2016-04-19 23:49:17.690,0,0308251404
10313,2016-08-11 13:09:01.580,1,0304336369
10314,2015-04-08 06:19:56.980,0,0309901507
10315,2019-09-24 00:04:47.540,1,0005390495
10316,2020-12-27 04:52:06.320,0,0005345282
10317,2019-01-04 23:56:16.820,1,0012112485
10318,2020-02-12 07:17:19.590,0,0306425744
10319,2014-08-21 03:58:49.830,1,0207500466
10320,2020-11-28 06:20:46.500,0,0311695204
10321,2013-11-14 18:41:25.410,0,0308813263
10322,2020-08-18 06:26:03.240,1,0000703011
10323,2013-10-22 16:59:55.920,1,0106242372
10324,2015-11-03 00:34:11.390,0,0306095052
10325,2017-10-09 09:17:56.790,0,0312604895
10326,2013-09-12 22:58:26.890,1,0208177868
10327,2017-04-29 12:21:51.630,1,0109524609
10328,2019-02-13 00:55:02.160,0,0300187820
10329,2015-03-11 03:33:36.270,0,0309770153
10330,2018-09-07 00:40:44.200,1,0300020918
10331,2018-09-15 23:05:17.420,0,0208873361
10332,2019-05-30 04:31:28.470,1,0304768661
10333,2016-02-17 08:55:41.850,0,0106908137
10334,2020-02-04 11:56:17.030,1,0208697928
10335,2015-12-01 09:19:16.170,0,0102618256
10336,2017-03-05 13:05:00.330,0,0110168964
10337,2014-07-18 13:24:12.310,0,0100296840
10338,2020-11-12 14:32:58.330,1,0104836132
10339,2015-05-30 13:22:21.960,1,0103990426
10340,2014-11-01 09:59:06.320,1,0105004323
10341,2013-11-27 12:25:59.810,1,0201774002
10342,2018-01-29 17:52:59.490,1,0112208742
10343,2020-05-30 17:31:30.530,1,0212317810
10344,2018-05-30 11:08:51.770,0,0211482489
10345,2020-12-12 05:55:58.370,0,0100080702
10346,2014-09-20 07:29:54.410,0,0202298639
10347,2014-11-21 13:35:40.250,1,0102090098
10348,2017-04-25 16:49:51.360,1,0402565223
10349,2017-05-03 00:40:25.180,1,0401931185
10350,2015-05-18 19:32:51.750,1,0309547670
10351,2018-08-04 13:58:09.720,0,0211073566
10352,2019-02-27 19:03:25.670,1,0400590309
10353,2019-05-12 13:58:17.230,1,0302944208
10354,2017-05-10 11:25:08.630,1,0300125057
10355,2019-05-10 11:39:47.710,1,0011501866
10356,2017-11-10 15:43:14.490,0,0311078168
10357,2018-05-22 03:37:05.500,0,0101368073
10358,2015-10-09 06:09:04.410,0,0008524000
10359,2014-11-12 11:50:31.180,0,0311142347
10360,2014-07-21 20:42:35.700,0,0308116551
10361,2016-01-20 13:05:40.310,1,0111635948
10362,2019-10-02 19:15:34.500,1,0211060048
10363,2018-11-10 02:49:32.910,0,0307075393
10364,2019-07-04 07:16:30.850,1,0205283078
10365,2019-11-16 07:30:35.730,1,0206917106
10366,2018-12-19 12:59:07.010,1,0401650079
10367,2013-08-13 14:53:35.830,1,0004487943
10368,2017-07-08 01:12:44.560,1,0307732140
10369,2020-05-07 21:00:40.810,1,0312124816
10370,2015-12-31 10:59:47.210,1,0110895088
10371,2019-11-21 15:27:54.010,1,0309753929
10372,2019-02-22 09:23:18.500,0,0209385272
10373,2018-02-24 17:54:57.630,1,0010433306
10374,2020-10-19 17:59:43.510,0,0103349674
10375,2020-06-12 17:54:46.680,1,0111810096
10376,2016-10-16 00:48:25.920,0,0306147723
10377,2013-08-30 12:54:32.710,0,0003684497
10378,2016-05-25 05:51:04.150,1,0109578317
10379,2015-11-21 18:38:13.020,0,0312161319
10380,2016-07-01 01:48:02.380,0,0007202522
10381,2019-10-23 09:22:46.650,0,0107613617
10382,2013-06-15 19:32:00.270,1,0308755425
10383,2015-03-25 00:14:36.970,0,0007020302
10384,2020-10-23 08:00:44.530,0,0301841271
10385,2013-07-15 10:42:34.480,1,0001564908
10386,2020-07-19 04:01:51.750,1,0306152382
10387,2013-06-29 14:33:11.230,0,0001550339
10388,2019-10-09 21:30:33.220,1,0108847920
10389,2014-03-09 00:16:29.310,1,0110966927
10390,2019-01-20 17:36:01.690,1,0401715677
10391,2019-10-15 09:27:54.840,1,0009791369
10392,2019-10-10 07:15:07.910,1,0005154630
10393,2019-06-13 02:42:27.140,1,0312420470
10394,2014-04-20 16:39:46.250,1,0206171808
10395,2019-10-12 20:53:26.010,0,0208416045
10396,2015-02-25 17:10:25.320,1,0205151517
10397,2020-03-21 15:03:26.590,1,0010437940
10398,2014-05-09 10:14:59.670,1,0008006990
10399,2019-07-15 03:38:16.050,0,0005439990
10400,2015-06-05 16:56:51.360,1,0008190400
10401,2014-07-19 16:36:18.580,0,0111182385
10402,2018-05-16 12:22:55.700,1,0305498478
10403,2017-12-18 19:49:10.550,0,0400663582
10404,2014-10-13 13:40:37.970,1,0009883601
10405,2016-06-27 04:04:57.750,1,0104237448
10406,2020-06-12 04:34:51.220,0,0002269789
10407,2014-06-15 01:08:28.040,0,0307545508
10408,2019-07-23 19:58:33.730,1,0107839214
10409,2017-11-27 17:30:21.950,0,0402636239
10410,2016-01-04 10:51:21.790,1,0112396477
10411,2017-08-23 02:48:41.770,0,0104772083
10412,2015-06-08 21:46:01.340,1,0304217773
10413,2020-11-17 11:30:51.400,0,0401106745
10414,2019-05-14 10:02:28.810,0,0403985021
10415,2015-09-29 11:19:49.060,1,0006119175
10416,2016-01-16 17:33:40.040,1,0109299617
10417,2017-12-20 19:00:57.520,0,0205213396
10418,2019-01-17 18:48:48.380,1,0103298302
10419,2019-05-31 20:33:56.370,0,0203684561
10420,2020-04-29 03:28:43.980,1,0106548181
10421,2018-12-01 22:25:55.770,0,0003874985
10422,2014-11-04 17:23:02.610,0,0111527035
10423,2016-10-11 00:56:15.240,0,0002141395
10424,2014-09-28 03:24:39.120,0,0206332946
10425,2017-03-18 01:31:52.370,0,0102137769
10426,2013-07-24 08:12:46.090,0,0308097986
10427,2020-09-11 06:40:51.360,1,0203309571
10428,2017-04-18 01:15:11.380,1,0106887472
10429,2014-06-19 21:06:17.490,0,0310602306
10430,2018-09-28 00:44:21.350,1,0312693379
10431,2017-07-27 09:44:59.330,1,0105188044
10432,2020-04-23 02:39:33.050,0,0305574405
10433,2017-11-11 02:12:48.110,1,0104585706
10434,2013-11-28 01:41:21.650,1,0208001693
10435,2015-05-25 09:11:43.790,1,0311100170
10436,2014-11-18 20:59:50.950,1,0205025926
10437,2016-06-27 23:42:49.720,1,0009993468
10438,2013-11-21 10:33:58.990,1,0212129999
10439,2017-10-08 03:55:46.780,1,0111449563
10440,2014-02-02 06:07:43.270,0,0310867312
10441,2019-07-17 02:53:23.710,0,0002706768
10442,2014-12-07 18:34:37.510,1,0110153679
10443,2015-04-24 04:00:11.270,1,0007226977
10444,2019-03-05 13:25:07.530,0,0300746505
10445,2014-11-09 14:47:19.910,1,0105980396
10446,2017-10-18 11:41:53.490,0,0105453932
10447,2019-11-22 19:44:16.520,1,0407098773
10448,2013-07-11 16:39:58.330,0,0002778383
10449,2019-07-23 05:19:57.190,0,0401756423
10450,2017-03-08 03:19:45.970,0,0100367520
10451,2018-03-07 22:09:27.810,1,0400104379
10452,2014-08-14 20:14:38.210,1,0209385802
10453,2015-12-09 13:41:03.310,1,0106464660
10454,2020-03-17 00:09:32.080,0,0201914675
10455,2017-07-04 18:30:55.590,0,0004223991
10456,2020-09-13 23:13:15.970,1,0302196730
10457,2015-01-15 11:26:40.450,0,0202434766
10458,2016-09-01 16:24:31.430,1,0002670689
10459,2018-07-28 12:08:45.610,1,0310588946
10460,2016-05-15 19:52:11.650,1,0202769380
10461,2020-09-30 21:53:59.870,1,0401074069
10462,2018-02-26 23:53:16.660,0,0406882252
10463,2018-07-15 22:52:16.230,0,0212663527
10464,2020-03-01 16:46:00.610,0,0108878618
10465,2019-06-10 01:06:22.460,1,0308494780
10466,2018-05-02 00:09:08.730,0,0108678136
10467,2018-07-28 19:33:13.240,1,0103685139
10468,2020-06-01 09:49:29.740,1,0404247425
10469,2017-06-01 00:50:45.010,1,0108985558
10470,2014-04-22 14:19:58.110,1,0103644331
10471,2020-07-20 17:50:50.320,1,0012396915
10472,2017-07-11 08:26:58.520,1,0405074291
10473,2014-09-21 14:53:01.590,0,0207080775
10474,2018-10-08 14:26:13.090,1,0203878159
10475,2014-03-26 00:35:20.260,1,0104318291
10476,2017-06-06 03:51:18.260,1,0109637632
10477,2020-07-13 13:22:51.350,1,0105240135
10478,2018-08-08 11:31:07.710,0,0003423965
10479,2020-11-18 12:37:19.210,0,0101620082
10480,2020-05-30 13:49:58.890,1,0211663818
10481,2014-09-01 12:28:29.570,1,0206198595
10482,2020-08-12 14:00:53.030,0,0305237488
10483,2018-09-26 19:55:14.190,1,0402300554
10484,2018-04-13 17:46:31.530,1,0010117862
10485,2014-01-02 02:34:53.540,1,0304879170
10486,2016-05-24 13:30:21.120,1,0400404172
10487,2017-10-25 12:58:29.730,0,0309677640
10488,2018-08-27 02:03:16.030,0,0307756099
10489,2017-05-26 07:10:26.070,0,0203691378
10490,2015-09-10 09:58:27.820,1,0403719135
10491,2020-11-03 09:33:10.500,0,0312545732
10492,2020-10-26 07:18:18.300,1,0008312069
10493,2016-04-25 22:25:13.390,1,0002186683
10494,2014-11-04 08:03:35.120,0,0210165680
10495,2014-05-04 08:13:43.400,1,0201388494
10496,2014-10-30 03:00:07.040,1,0409605875
10497,2017-05-24 19:42:21.280,0,0308638015
10498,2016-02-22 11:14:10.670,0,0200787234
10499,2020-09-25 12:18:45.080,0,0206526308
10500,2017-07-10 14:38:11.190,1,0307872618
10501,2020-03-22 16:08:40.250,0,0002318567
10502,2020-06-22 09:54:46.790,1,0303355304
10503,2017-02-09 15:49:13.320,0,0401394862
10504,2018-09-11 14:59:59.070,0,0011156650
10505,2017-08-18 09:28:55.650,1,0000940935
10506,2014-02-06 13:42:29.280,0,0007409194
10507,2020-11-23 05:21:36.620,1,0409376339
10508,2018-03-02 23:14:50.220,1,0302372615
10509,2019-06-03 23:34:11.810,1,0403561415
10510,2013-07-10 14:39:37.330,0,0302567633
10511,2013-08-13 09:50:24.620,0,0110743466
10512,2017-06-08 23:55:32.740,0,0112744133
10513,2016-10-14 03:47:12.230,1,0203613698
10514,2019-02-27 22:18:46.720,1,0300823356
10515,2015-02-24 07:23:42.070,1,0212131777
10516,2013-07-31 07:53:06.840,0,0308248933
10517,2020-06-02 03:58:02.480,1,0408261636
10518,2013-09-13 05:05:44.700,1,0202978759
10519,2019-08-10 14:11:07.060,1,0403071890
10520,2016-06-27 11:36:01.330,1,0200232721
10521,2013-12-17 11:10:38.990,1,0002945981
10522,2020-12-01 17:29:57.210,1,0410007306
10523,2016-06-18 02:39:03.660,0,0201583597
10524,2015-03-03 14:52:17.180,1,0212331607
10525,2014-06-19 04:46:47.620,1,0100932976
10526,2020-09-24 10:32:32.030,1,0004748762
10527,2014-08-27 10:01:45.130,1,0409231470
10528,2020-11-17 06:49:26.470,1,0302595986
10529,2017-11-16 06:12:29.680,0,0410659188
10530,2020-05-26 21:35:13.220,1,0007458544
10531,2013-06-24 08:08:56.970,1,0212225599
10532,2017-11-01 02:08:40.680,1,0206687154
10533,2018-11-12 23:12:22.640,1,0012511776
10534,2016-10-20 21:59:08.020,1,0307785928
10535,2013-08-19 21:41:18.630,1,0209567270
10536,2015-03-12 02:33:42.790,1,0309640038
10537,2016-12-12 22:11:39.700,1,0005206106
10538,2013-06-27 04:55:15.110,1,0110721125
10539,2014-02-05 08:17:35.870,0,0305173578
10540,2020-11-25 12:52:24.260,1,0400404220
10541,2016-07-01 08:08:44.510,0,0401446442
10542,2020-08-24 13:43:39.520,1,0203795446
10543,2020-03-25 02:29:04.230,0,0404380728
10544,2017-04-27 16:30:48.740,1,0400847477
10545,2015-07-10 00:08:03.200,1,0000990720
10546,2016-11-06 09:37:37.750,0,0312875125
10547,2017-06-24 03:31:06.060,0,0403080317
10548,2018-02-27 00:06:26.670,1,0411829135
10549,2020-09-10 00:39:53.060,0,0300557274
10550,2014-03-16 00:20:36.560,0,0300938754
10551,2015-05-29 23:02:04.570,0,0010498909
10552,2017-02-20 14:36:36.580,1,0411798764
10553,2017-07-14 21:03:03.610,0,0312384269
10554,2017-09-10 00:42:43.740,0,0309133962
10555,2017-01-03 03:27:32.190,0,0400310107
10556,2020-04-20 22:38:43.050,1,0104305096
10557,2017-06-16 07:15:43.120,1,0210361530
